"Id","Title","Body","Tags"
"11","How do commercial obfuscators achieve to crash .net Reflector and ILDASM?","<p>Some commercial obfuscators <a href=""http://www.remotesoft.com/salamander/obfuscator.html"" rel=""nofollow"">claim they can crash ILDASM</a> (and other similar tools such as Reflector)</p>

<p><strong>Any idea on how they achieve that?</strong></p>

<p>As stated in numerous threads here, someone with enough motivation/time/skill will always find a way to read your code (aka if it's runnable, it's decompilable), but it seems to me that most casual code readers won't bother decompiling my code if Reflector can't do it for them.</p>

<p>This level of protection of my IP (ie, protected against anybody but the hardcore guys who would probably find a way around every single trick I would throw at them anyway) would definitely be enough for me.</p>
",".net obfuscation reflector"
"12","Crappy Random Number Generator","<p>This may sound like an odd question, but where can I find a random number generator that works in C or C++ that is not very good?</p>

<p>Context: I'm creating some tree graph plotting software and testing it by using multi-digit random numbers (so each digit becomes a node in the tree). The random number generator I've been using - which is the one that comes with the GNU C++ compiler - gives me a nice spread of values. That's good, but I want to see how the table looks when the numbers clump together and are less homogenous. </p>

<p>Can anyone suggest a random number generator that has been proven to be not-so-random?</p>

<p>(Oh, any anyone who links to xkcd and/or suggests I just return 4 will get sarcasm in response).</p>
","algorithm language-agnostic random"
"13","Migrate from Mdaemon to postfix","<p>how can I move Inbox/Sent/Draft from Mdaemon to postfix?
<br/>
is there any automatic way? </p>
","postfix migration mdaemon"
"14","Where can I find the LaTeX3 manual?","<p>Few month ago I saw a big pdf-manual of all LaTeX3-packages and the new syntax. I think it was bigger than 300 pages. I can't find it on the web. </p>

<p>Does anyone have a link?</p>
","documentation latex3 expl3"
"15","Can I stop windows 7 from fading windows on alt-tab?","<p>When you hit alt tab on windows 7 and stop for a second on a window, it hides all other windows.  Is there any way to tell Windows 7 to use the old classic behavior?</p>
","windows-7"
"16","PHP framework URL conventions","<p>A lot of frameworks use URL conventions like <code>/controller/action/{id}</code> which is great, but if you need any configuration beyond that, it's up to you to write your own routes.</p>

<p>How would you handle URLs like <code>/users/{id}/friends</code> on the backend? (to list all of a user's friends)</p>

<p>I'm thinking that in the controller, something like this would be appropriate:</p>

<pre><code>class User {
    function index() {
        echo 'user index';
    }
}

class Friend extends User {
    function index($user_id) {
        echo 'friend index';
    }    
}
</code></pre>

<p>Then you would have the following map:</p>

<pre><code>/users              -&gt; User::index()
/users/{id}         -&gt; User::view($id)
/users/{id}/friends -&gt; Friend::index($user_id)
</code></pre>

<p>I wanted to put the Friend class inside the User class but apparently you can't do that in PHP so this is the best I could come up with. Thoughts?</p>

<p>What URL would use for editing your list of friends? <code>/users/{id}/friends/edit</code> could work, but it doesn't seem appropriate, since you should never be editing someone else's friend list. Would <code>/account/friends/edit</code> be a better choice? Where would you put the corresponding code for that? In a friend controller, or a user controller, or a specialized account controller?</p>

<p>Bonus question: which do you prefer? <code>/photos/delete/{id}</code> or <code>/photos/{id}/delete</code></p>

<p><hr /></p>

<p><strong>The answers:</strong></p>

<p>So, what I've gathered from the answers is that if the ""thing"" is complicated (like ""friends"") but doesn't have its own controller, you can give it one without a model, or if it's not, you should stuff it in with whatever it's most closely related to. Your URLs should not influence where you put your code. Most people seem to think you should stick to <code>/controller/action/{id}</code> whever possible, because it's what people are familiar with.</p>

<p>No one really commented on the extended class aside from saying it's ""awkward"". Perhaps FriendList would have been a more appropriate class in that case if I really wanted to separate it out.</p>

<p>Thanks for all the answers :)</p>
","php url-routing conventions"
"17","What creates "".rds"" temporary files in R?","<p>I'm running a server process in R that is restarted often, and which uses many R packages. Right now, each restart creates a temporary directory that contains a couple of files with the ""rds"" extension. I'd really like to know which R package or feature causes these .rds files to be created (so I can disable that). Thanks!</p>

<p>The filenames look like this:</p>

<p>libloc_%2fusr%2flib%2fR%2flibraryVersion,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,OS_type,License,Archs,Built.rds</p>

<p>and the beginning of the content look like this:</p>

<pre><code>      [,1]         [,2]                 [,3]          [,4]          [,5]                                              
 [1,] ""KernSmooth"" ""/usr/lib/R/library"" ""2.23-6""      ""recommended"" ""R (&gt;= 2.5.0), stats""                             
 [2,] ""MASS""       ""/usr/lib/R/library"" ""7.3-13""      ""recommended"" ""R (&gt;= 2.13.0), grDevices, graphics, stats, utils""
 [3,] ""Matrix""     ""/usr/lib/R/library"" ""0.999375-50"" ""recommended"" ""R (&gt;= 2.10.0), stats, methods, utils, lattice""   
 [4,] ""base""       ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
 [5,] ""class""      ""/usr/lib/R/library"" ""7.3-2""       ""recommended"" ""R (&gt;= 2.5.0), stats, utils""                      
 [6,] ""compiler""   ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
 [7,] ""datasets""   ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
 [8,] ""grDevices""  ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
 [9,] ""graphics""   ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[10,] ""grid""       ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[11,] ""lattice""    ""/usr/lib/R/library"" ""0.19-26""     ""recommended"" ""R (&gt;= 2.11.0)""                                   
[12,] ""methods""    ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[13,] ""nnet""       ""/usr/lib/R/library"" ""7.3-1""       ""recommended"" ""R (&gt;= 2.5.0), stats, utils""                      
[14,] ""spatial""    ""/usr/lib/R/library"" ""7.3-2""       ""recommended"" ""R (&gt;= 2.5.0), graphics, stats, utils""            
[15,] ""splines""    ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[16,] ""stats""      ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[17,] ""stats4""     ""/usr/lib/R/library"" ""2.13.0""      ""base""        ""methods, graphics, stats""                        
[18,] ""tcltk""      ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[19,] ""tools""      ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
[20,] ""utils""      ""/usr/lib/R/library"" ""2.13.0""      ""base""        NA                                                
</code></pre>
","r temporary-files"
"18","WPF: multiple controls binding to same property","<p>Hello<br>
I'm trying to change several controls' property according to some environment variables and i want to avoid creating a property for each control in the datacontext, so i thought using a converter which sets the property according to control name. Goal is to use one property for all controls:   </p>

<pre><code>&lt;Grid.Resources&gt;
   &lt;local:NameToStringConverter x:Key=""conv"" /&gt;    
&lt;/Grid.Resources&gt;

&lt;TextBlock Name=""FordPerfect"" 
     Text=""{Binding ElementName=""FordPerfect"" Path=Name, Converter={StaticResource conv}, Mode=OneWay}""/&gt;
&lt;TextBlock Name=""Arthur"" 
     Text=""{Binding ElementName=""Arthur"" Path=Name, Converter={StaticResource conv}, Mode=OneWay}""/&gt;
&lt;TextBlock Name=""ZaphodBeeblebrox"" 
     Text=""{Binding ElementName=""ZaphodBeeblebrox"" Path=Name, Converter={StaticResource conv}, Mode=OneWay}""/&gt;
</code></pre>

<p>and ...</p>

<pre><code>public class NameToStringConverter : IValueConverter
{
    public object Convert(
     object value, Type targetType,
     object parameter, CultureInfo culture)
    {            
        if (MyGlobalEnv.IsFlavor1 &amp;&amp; ((string)value).Equals(""ZaphodBeeblebrox"")) return ""42""
        if (MyGlobalEnv.IsFlavor2 &amp;&amp; ((string)value).Equals(""ZaphodBeeblebrox"")) return ""43""
        if (MyGlobalEnv.IsFlavor1 &amp;&amp; ((string)value).Equals(""Arthur"")) return ""44""

        return ""?"";
    }

    public object ConvertBack(
     object value, Type targetType,
     object parameter, CultureInfo culture)
    {
        throw new NotSupportedException(""Cannot convert back"");
    }
}
</code></pre>

<p>I'm sure there's a better and more elegant way... Any ideas?</p>
","wpf binding"
"19","Play framework auto javascript and CSS minifier","<p>Does anyone know a good play plugin that automatically minifies javascript and css to attach to a production play server?</p>

<p>I've found this one, but I guess there are more out there:</p>

<p><a href=""https://github.com/greenlaw110/play-greenscript"" rel=""nofollow"">https://github.com/greenlaw110/play-greenscript</a></p>

<p>The main problem I see here is that the having javascript being generated from the play side, the plugin would have to detect JS code that gets generated on the fly. Mainly because I'm writing values directly into the javascript like:</p>

<pre><code>function foo${handlerID}(someVar){
var x = ${some_val};

(...)
}

var t = foo${handlerID}('bar');
</code></pre>
","javascript code-generation playframework minify"
"20","Creating a repetitive node from a hash array with simplexml_load_string, a cycle and variables","<p>=) I need your kindly help to accomplish a simple task. I've been searching but I can't find what I need. It shouldn't be difficult, probably it's a matter of syntax =)</p>

<p>I create a string representing an XML inside the function like this:</p>

<pre><code>$sxe = simplexml_load_string('
&lt;xmlFile&gt;
 &lt;item param=""'.$variable.'""&gt;
  &lt;subitem&gt;'.$var2s.'&lt;/subitem&gt;
 &lt;/item&gt;
&lt;/xmlFile&gt;
');
</code></pre>

<p>The contents of the variables are plain strings like this <code>abc,def,ghi</code> in both variables which I obtain from a hash this way:</p>

<pre><code>isset($variable);
$variable="""";
isset($vars2);
$vars2="""";

foreach ($hashArray as $stringKey =&gt; $stringValue) {
 // I separate each result with a comma
 $variable .= $stringKey."","";
 $vars2 .= $stringValue."","";
}
// Then remove the last comma
$variable = substr($variable, 0, -1);
$vars2 = substr($vars2, 0, -1);
</code></pre>

<p>When I save my XML with <code>$sxe-&gt;asXml('xml/myGreatFile.xml');</code> I got something similar to:</p>

<pre><code>&lt;xmlFile&gt;
 &lt;item param=""abc,def,ghi""&gt;
  &lt;subitem&gt;JKL,MNO,PQR&lt;/subitem&gt;
 &lt;/item&gt;
&lt;/xmlFile&gt;
</code></pre>

<p>That was fine but now for my new requirement I need a result similar to this:</p>

<pre><code>&lt;xmlFile&gt;
 &lt;item param=""abc""&gt;
  &lt;subitem&gt;JKL&lt;/subitem&gt;
 &lt;/item&gt;
 &lt;item param=""def""&gt;
  &lt;subitem&gt;MNO&lt;/subitem&gt;
 &lt;/item&gt;
 &lt;item param=""ghi""&gt;
  &lt;subitem&gt;PQR&lt;/subitem&gt;
 &lt;/item&gt;
&lt;/xmlFile&gt;
</code></pre>

<p>How can I create this repetitive node???
I tried to concatenate PHP functions inside the <code>simplexml_load_string</code> string as I did with the variables but seems to be it's not possible:</p>

<pre><code>$sxe = simplexml_load_string('
&lt;xmlFile&gt;'.
 // Syntax Error u_u
 foreach ($hashArray as $stringKey =&gt; $stringValue) {
  $variable .= $stringKey."","";
  $vars2 .= $stringValue."","";.

 '&lt;item param=""'.$variable.'""&gt;
  &lt;subitem&gt;'.$var2s.'&lt;/subitem&gt;
 &lt;/item&gt;'.
 }
.'&lt;/xmlFile&gt;
');
</code></pre>

<p>Of course my syntax it's wrong, but I want to create this repetitive node somehow, maybe with a cycle and maybe using my hash array directly instead of passing it to string.</p>

<p>Can somebody please help me â€œcuresâ€???
THANKS A LOT =) =) =)</p>
","php xml hash multidimensional-array simplexml-load-string"
